ARTICULO;PROVEEDOR;DESCRIPCION;AÑASCO;MDP;ROS;COR;NEU
BA076;VMG;BBA AGUA VW GOL,GACEL,SENDA,GALAXI.1.6/ 2.0/16v 1.9 TD AUDI/ POWER 1.6;-4;0;0;0;0
BA477;VMG;BBA DE AGUA CITROEN BERLINGO 1.1 // 1.4 P FIAT DOBLO 1.4 8V/QUBO;-4;0;0;0;0
I-ZA34055.3.1;HIDRAULICA IMP.;ACTUADOR HIDRAULICO CHEV. CRUZE =ZA34048.3.1;-4;0;0;0;0
LEIGG004;LUCAS;BUJÍA PREC  NISSAN  MOTOR LD 20 MOTOR: 2.0 4CIL. LD20 - 80/84;-4;0;0;0;0
LSP5R01;LUCAS;BUJIA (BUE5ETB-10) GOL MI POLO QUANTUM SAVEIRO MI (3 ELECTRODOS);-4;0;0;0;0
LSPFR6PG;LUCAS;BUJIA (ZFR6PG) VW GOL 1.4 DESDE 2010/ GOL 1.6 8V DESDE 2015;-4;0;0;0;0
T41255;GATES;T41255 TENSOR DIST RENAULT;-4;0;0;0;0
41099X15;GATES;CO DIST 41099x15/5144/T038 CHEVROLET Chevette/Pick up GMC500 1,4/1,6;-4;0;3;0;0
I-ZA3102.4.1;HIDRAULICA IMP.;ACTUADOR HIDRAULICO CHEV. ASTRA;-3;0;0;0;-2
RCDI01020;TRW;DIS FRE DEL VW Gol 98-99 (HF02A/BD3975);-3;0;0;0;-2
BA504;VMG;BBA DE AGUA Chev Agile 1,4 8v 09- Corsa 1,4 8v 09->AVEO 1.4.ONIX 1.4;-3;-1;0;0;0
10X1650-4;GATES;7650;-3;0;0;0;0
58148X25.4XS;GATES;CO DIST 58148x25.4XS/5040XS;-3;0;0;0;0
6PK1025-9 SF;GATES;CORREA ELASTICA 6PK1029SF FORD Ka Dragon / Fiesta-Focus SIGMA;-3;0;0;0;0
6PK2045-9;GATES;K060806;-3;0;0;0;0
7PK1790-4;GATES;K070705 / 7PK1793;-3;0;0;0;0
LLB64210LL;LUCAS LAMPARAS;LAMPARA H7 12V 55W PX26d;-3;0;0;0;0
5PK850-4 SF;GATES;5PK850-4 SF NISSAN FRONTIER 2.3;-3;0;3;0;0
BA689;VMG;BBA DE AGUA FIAT DUCATTO // IVECO DAILY 2,3 JTD HPI 06/PEUGEOT BOXER 2;-3;0;4;0;0
6PK760-4 SF;GATES;CORREA ELASTICA 6PK0762SF GOL/VOYAGE/SAVEIRO/FOX/1.0/1.6 8V;-3;0;0;0;1
7PK3130-4;GATES;7pk3133 / k071235 CORREA ACCESORIOS RANGER 2.2 TDCI -2015;-3;0;0;0;1
CSC3148;PHC VALEO;ACTUADOR HIDRAULICO TOYOTA corolla 1.8 caja 6ta /Etios 1.5;-3;0;0;0;1
7PK3165-9;GATES;K071247 / 7PK3169;-3;0;0;0;3
6PK2265-9;GATES;K060893 / K060891BR / 6PK2265;-2;0;0;0;-1
76117X22XS;GATES;CO DIST 76117x22XS/5433XS FORD mot zetec 1.4 / SIGMA 1.6;-2;0;0;0;-1
358112931T;HELLA ;ESCOBILLA LIMP.TRASERA 14´ (con Adaptador A5, 5B, 5C, 5D);-2;0;2;0;-1
358112921T;HELLA ;ESCOBILLA LIMP.TRASERA 12´ (con Adaptador A5, 5B, 5E);-2;0;-4;0;0
358054261;HELLA ;ESCOBILLA AERODINÁMICA 26´;-2;0;-1;0;0
40111X17XS;GATES;CO DIST 40433X17XS/5310XS/T203 DAEWOO / SPIN;-2;0;-1;0;0
5PK1035-9;GATES;K050407 / 5PK1036 CHEVROLET Onix/Prisma 1.4;-2;0;-1;0;0
FI-70150;FISPA;BOBINA DE IGNICION TOYOTA COROLLA 1.6 / 1.8 - RAV 4 IV 4WD 2.0;-2;0;-1;0;0
FI-26016;FISPA;CONECTOR PARA MANGUERA 26016;-2;-4;0;0;0
228315;VALEO;KIT EMBRAGUE PDR EX 826213 CITROEN/PEUGEOT 200X18;-2;0;0;0;0
833370;VALEO;KIT EMBRAGUE PD RENAULT KWID 1.0;-2;0;0;0;0
358054161;HELLA ;ESCOBILLA AERODINÁMICA 16´;-2;0;0;0;0
530057210;INA FAG;KIT DIST Chevrolet Captiva-Cruze 2.0 16v Diesel (151x22xs);-2;0;0;0;0
530064010;INA FAG;KIT DIST Renault Kangoo-Logan-Symbol K4m (132x27.4xs) ver 530073710;-2;0;0;0;0
858083131;HELLA ;ESCOBILLA LIMPIARABRISAS 13´ STANDARD SINGLE (STANDARD METALICA);-2;0;0;0;0
3000001091;SACHS EMBRAGUES;KIT EMBRAG PDR REN CLIO/LOGAN/SAND/KANG/4KM (DISCO PREAM/SIN CORREDERA;-2;0;0;0;0
10PK2475-9;GATES;K100974;-2;0;0;0;0
10X885-9;GATES;6264 gates;-2;0;0;0;0
13X1020-4;GATES;9402;-2;0;0;0;0
13X1235-9;GATES;9486;-2;0;0;0;0
2X13X1075-9;GATES;2/9423 CORREA DOBLE GATES;-2;0;0;0;0
2X13X1400-4;GATES;CORREA DOBLE 2/9552;-2;0;0;0;0
316-206;SACHS AMORTIGUADORES;AMORT T PEUGEOT 405 GR-SR-SRI (INCLUÍDO BREAK)/ MI 16V <->;-2;0;0;0;0
316-863;SACHS AMORTIGUADORES;AMORT T RENAULT CLIO II 12/99->;-2;0;0;0;0
316-926;SACHS AMORTIGUADORES;AMORT D RENAULT LOGAN II / SANDERO II 11/13->;-2;0;0;0;0
45-951CR;SPICER;SOP CARDAN Camion VW FIAT IVECO (45mm);-2;0;0;0;0
4PK905-9 SF;GATES;CORREA ELASTICA K040356SF/K040357SF/4PK906SF;-2;0;0;0;0
58130X25.4;GATES;CO DIST 58130x25.4/5118/T084;-2;0;0;0;0
5PK1650-4;GATES;K050650;-2;0;0;0;0
5PK785-9;GATES;5PK788 lifan;-2;0;0;0;0
6PK1010-4;GATES;6K1010 / 6PK1010;-2;0;0;0;0
6PK865-9;GATES;6PK865;-2;0;0;0;0
76138X23XS;GATES;CO DIST 76138x23XS/5533XS;-2;0;0;0;0
77111X29XS;GATES;CO DIST 77111x29XS/5445XS/T608 MITSUBISHI;-2;0;0;0;0
77201X30;GATES;CO DIST 77201X30/T295;-2;0;0;0;0
7PK1520-4;GATES;K070598;-2;0;0;0;0
7PK1675-9;GATES;7PK1678;-2;0;0;0;0
90135X19XS;GATES;CO DIST 90135x19XS/5427XS/T1548 VW;-2;0;0;0;0
AP12221;AP SUSPENSION;ROTULA IZQ/DER-SUP TOYOTA HILUX 89 -> 97;-2;0;0;0;0
AP12405;AP SUSPENSION;EXTREMO IZQ/DER FIAT DUNA 88 -> 93FIAT UNO 88 -> 93;-2;0;0;0;0
BA046;VMG;BBA DE AGUA RENAULT 9 // RENAULT 11 // TRAFIC 1.6 NAFTA;-2;0;0;0;0
BA707CT;VMG;BA707CT BBA AGUA VW UP/GOLF//SURAN/FOX/CROSSFOX 1,4 TFSI/ y 1.6msi;-2;0;0;0;0
BA786;VMG;BBA DE AGUA SUBARU FORESTER IMPREZA 2.0 2.5;-2;0;0;0;0
CSC3205;PHC VALEO;ACTUADOR HIDRAULICO Frontier/Terra MWM 2.8 TD (>08);-2;0;0;0;0
I-ZA36052.3.4;HIDRAULICA IMP.;ACT HIDRAULICO VW AMAROK 2.0 TDI/BiTDI 122/163/180 CV;-2;0;0;0;0
LEIGG005;LUCAS;BUJÍA PREC  RENAULT CLIO - KANGOO - TRAFICC 1.9  D MOTOR: F8Q 630/662;-2;0;0;0;0
PH96;PHALES;SOP. MOTOR Y CAJA RENAULT BIELETA TRAS. CLIO II/MEGANE 1.4-1.6-1.5 16V;-2;0;0;0;0
PH99;PHALES;SOP. MOTOR Y CAJA VW GOL TREND/NUE VOYAGE/FOX/POLO 09/- L.DER.;-2;0;0;0;0
RCDI02800;TRW;DIS FRE DEL CIT C3-C4-XSARA/PEUGEOT 206-207-307-PARTNER (HF750/BD4750);-2;0;0;0;0
RCDI06430;TRW;DIS FRE TRA MB 912-914-915 (HF472C/BD4728);-2;0;0;0;0
RCPT08530;TRW;P FRE TRA PEUGEOT 306--405/ SEAT IBIZA/ VOLKS./AUDI 90/;-2;0;0;0;0
SF061-25A;FRENO SILENT;BBA FRENO Fiat Palio/Nuevo Uno Fire/Siena s/ABS(aluminio);-2;0;0;0;0
SF212-12A;FRENO SILENT;BBA FRENO Volkswagen Golf/Polo/Passat ;-2;0;0;0;0
SP1501-669A;SPICER;Homocinetica L. Rueda c/ABS 44 Fiat Palio/Siena;-2;0;0;0;0
530022810;INA FAG;KIT DIST Fiat Doblo-Palio-Siena 1.3/1.4 16v (124x22xs);-2;0;2;0;0
530055010;INA FAG;KIT DISTRI Volkswagen Amarok-Passat 2.0Tdi (160x25xs);-2;0;2;0;0
6PK890-4;GATES;K060352 / K060350 / 6PK893;-2;0;2;0;0
AP12469;AP SUSPENSION;"EXTREMO IZQ/DER CHEV ASTRA 98->
CHEV VECTRA 06-> 11
CHEV ZAFIRA 98->";-2;0;2;0;0
8PK2020-4;GATES;8PK2020;-2;0;4;0;0
3PK890-4SF;GATES;CORREA ELASTICA 3PK0890SF SONIC/ONIX/PRISMA II;-2;0;0;0;1
41121X18;GATES;CO DIST 41121x18/5016/T017;-2;0;0;0;1
6PK1070-4;GATES;6K1073 / K060421 / 6PK1070;-2;0;0;0;1
PGK-009;PHC VALEO;KIT EMBRAGUE PDR PEUGEOT 206/ 306/ PARTNER 1.9 D DW8 200X18 ;-2;0;0;0;1
858083141;HELLA ;ESCOBILLA LIMPIARABRISAS 14´ STANDARD SINGLE (STANDARD METALICA);-2;0;5;0;1
99138X15XS;GATES;CO DIST 99138x15XS/5177XS;-2;0;-3;0;2
316-554;SACHS AMORTIGUADORES;AMORT T RENAULT FLUENCE 10->;-2;0;0;0;2
8PK1800-4;GATES;K080710 / K080709;-2;0;0;0;2
RCDI07820;TRW;DIS FRE DEL VW Gol 10-… (HF87A/BD5297) GOL TREND VOYAGE;-2;0;0;0;2
